SignalIdentifier,EventCode,EventParam,Timestamp
7115,81,19,39:04.7
7115,82,20,39:07.7
7115,81,20,39:09.2
7115,82,20,39:15.1
7115,81,20,39:15.6
7115,82,20,39:28.2
7115,81,20,39:29.0
7115,82,19,39:30.4
7115,82,21,39:30.7
7115,81,19,39:31.5
7115,81,21,39:32.3
7115,82,19,39:33.9
7115,81,19,39:35.0
7115,82,21,39:58.5
7115,82,20,40:11.4
7115,82,19,40:11.9
7115,82,19,40:13.4
7115,82,21,40:16.6
7115,82,21,40:18.4
7115,82,19,40:22.5
7115,82,20,40:31.2
7115,81,19,40:43.7
7115,82,19,40:45.8
7115,81,19,40:55.4
7115,82,20,41:00.4
7115,82,19,41:10.9
7115,81,21,41:18.9
7115,81,21,41:21.1
7115,81,20,41:21.5
7115,81,21,41:21.7
7115,81,19,41:21.7
7115,81,19,41:22.6
7115,81,20,41:22.8
7115,81,20,41:23.2
7115,81,19,41:24.2
7115,82,20,41:27.9
7115,81,20,41:29.8
7115,82,19,41:30.8
7115,82,20,41:31.8
7115,81,19,41:32.2
7115,82,19,41:32.7
7115,81,20,41:32.8
7115,81,19,41:34.7
7115,82,20,41:41.6
7115,81,20,41:43.8
7115,82,21,42:12.8
7115,81,21,42:14.4
7115,82,20,42:14.6
7115,81,20,42:15.9
7115,82,21,42:26.5
7115,82,21,42:29.2
7115,82,21,42:32.9
7115,82,20,42:41.5
7115,82,20,42:50.0
7115,82,19,43:04.4
7115,81,19,43:04.7
7115,82,19,43:05.4
7115,82,19,43:08.3
7115,81,19,43:09.5
7115,82,19,43:11.9
7115,82,19,43:26.5
7115,81,21,43:46.9
7115,81,20,43:47.8
7115,81,19,43:48.4
7115,82,19,43:48.6
7115,82,20,43:49.4
7115,81,21,43:49.9
7115,81,20,43:50.1
7115,81,19,43:50.4
7115,81,19,43:50.6
7115,81,20,43:51.4
7115,81,21,43:51.6
7115,82,19,43:51.8
7115,82,19,43:52.3
7115,81,19,43:53.6
7115,81,19,43:53.8
7115,81,19,43:54.7
7115,82,19,43:55.6
7115,82,19,43:56.8
7115,81,19,43:57.0
7115,82,21,43:57.2
7115,81,21,43:58.7
7115,81,19,43:59.8
7115,82,20,44:00.3
7115,81,20,44:01.7
7115,82,19,44:02.3
7115,81,19,44:03.7
7115,82,20,44:05.9
7115,81,20,44:07.6
7115,82,19,44:09.3
7115,81,19,44:12.2
7115,82,21,44:13.6
7115,81,21,44:15.4
7115,82,20,44:17.6
7115,81,20,44:20.2
7115,82,21,44:30.6
7115,81,21,44:32.3
7115,82,20,44:42.4
7115,81,20,44:43.7
7115,82,21,44:56.2
7115,82,20,45:03.6
7115,82,21,45:04.7
7115,81,21,45:07.4
7115,82,21,45:10.7
7115,82,19,45:11.5
7115,82,19,45:15.3
7115,82,20,45:25.5
7115,82,19,45:28.3
7115,82,20,45:42.1
7115,81,20,45:43.3
7115,82,20,45:49.2
7115,81,20,45:50.5
7115,82,20,45:58.7
7115,81,20,46:18.6
7115,81,19,46:19.8
7115,81,21,46:20.6
7115,81,20,46:21.2
7115,81,21,46:23.4
7115,82,21,46:23.8
7115,81,19,46:24.0
7115,82,19,46:24.9
7115,81,19,46:25.5
7115,81,21,46:26.0
7115,82,21,46:26.3
7115,81,19,46:27.1
7115,81,21,46:28.4
7115,81,20,46:29.0
7115,82,19,46:30.4
7115,81,19,46:31.6
7115,82,20,46:32.9
7115,82,19,46:33.1
7115,81,19,46:33.5
7115,82,20,46:33.6
7115,82,21,46:34.0
7115,81,21,46:34.3
7115,81,20,46:34.7
7115,81,20,46:36.0
7115,82,20,46:39.3
7115,81,20,46:41.1
7115,82,19,46:59.3
7115,81,19,47:01.5
7115,82,21,47:02.7
7115,81,21,47:04.6
7115,82,20,47:28.5
7115,82,21,47:31.4
7115,82,19,47:42.9
7115,82,19,47:46.3
7115,82,20,47:46.9
7115,82,19,47:53.9
7115,81,19,47:55.3
7115,82,19,48:00.1
7115,82,21,48:07.0
7115,81,19,48:44.8
7115,81,20,48:45.6
7115,82,20,48:47.2
7115,81,20,48:48.6
7115,81,19,48:50.3
7115,81,20,48:51.4
7115,81,21,48:51.4
7115,82,20,48:51.6
7115,81,21,48:53.1
7115,81,20,48:53.7
7115,81,19,48:53.8
7115,82,19,48:56.5
7115,81,19,48:58.4
7115,82,19,49:05.5
7115,81,19,49:07.0
7115,82,20,49:07.9
7115,81,20,49:09.4
7115,82,20,49:22.0
7115,81,20,49:23.3
7115,82,21,50:07.5
7115,82,21,50:10.1
7115,82,20,50:13.0
7115,82,20,50:15.4
7115,82,19,50:16.1
7115,81,19,50:18.1
7115,82,19,50:20.9
7115,82,20,50:24.0
7115,81,20,50:30.7
7115,82,20,50:33.9
7115,82,19,50:38.3
7115,82,19,51:04.5
7115,81,19,51:06.3
7115,82,19,51:08.8
7115,81,20,51:19.6
7115,81,19,51:20.4
7115,81,21,51:21.9
7115,81,20,51:22.0
7115,81,20,51:22.7
7115,82,21,51:22.9
7115,81,19,51:23.2
7115,82,19,51:24.0
7115,81,21,51:25.0
7115,81,21,51:25.3
7115,81,19,51:25.7
7115,81,19,51:28.3
7115,82,21,51:30.5
7115,81,21,51:30.8
7115,82,21,51:31.1
7115,81,21,51:33.8
7115,82,19,51:40.5
7115,81,19,51:43.0
7115,82,20,52:10.9
7115,81,20,52:12.2
7115,82,21,52:31.0
7115,82,19,52:40.9
7115,82,19,52:42.0
7115,82,21,52:46.0
7115,82,20,52:46.9
7115,82,21,52:53.3
7115,82,19,53:01.4
7115,82,20,53:23.9
7115,81,19,53:42.5
7115,81,21,53:49.1
7115,81,21,53:49.4
7115,82,21,53:49.6
7115,81,20,53:49.9
7115,81,19,53:50.0
