DetectorId,Mph,Kph,TimeStamp
500006,42,68,6/14/2023 4:10:31.9
500006,44,71,6/14/2023 4:10:53.6
500006,43,69,6/14/2023 4:11:19.3
500008,52,84,6/14/2023 4:12:35.7
500008,41,66,6/14/2023 4:12:51.1
500008,42,68,6/14/2023 4:12:57.7
500008,34,55,6/14/2023 4:13:13.0
500008,40,64,6/14/2023 4:13:15.9
500008,38,61,6/14/2023 4:13:19.0
500006,42,68,6/14/2023 4:13:24.8
500006,52,84,6/14/2023 4:13:39.1
500008,55,89,6/14/2023 4:13:48.0
500006,39,63,6/14/2023 4:13:50.8
500008,44,71,6/14/2023 4:14:42.5
500006,55,89,6/14/2023 4:15:15.4
500006,42,68,6/14/2023 4:15:54.2
500006,44,71,6/14/2023 4:16:28.7
500006,40,64,6/14/2023 4:17:57.0
500006,48,77,6/14/2023 4:18:33.7
500008,48,77,6/14/2023 4:18:40.6
500006,49,79,6/14/2023 4:20:12.4
500006,48,77,6/14/2023 4:20:14.4
500006,52,84,6/14/2023 4:20:15.5
500008,46,74,6/14/2023 4:20:25.7
500008,46,74,6/14/2023 4:20:46.0
500006,61,98,6/14/2023 4:21:15.2
500008,49,79,6/14/2023 4:21:16.3
500006,47,76,6/14/2023 4:21:20.8
500006,40,64,6/14/2023 4:21:28.1
500006,33,53,6/14/2023 4:21:59.0
500006,41,66,6/14/2023 4:22:21.5
500008,46,74,6/14/2023 4:22:35.3
500008,50,80,6/14/2023 4:22:36.8
500006,42,68,6/14/2023 4:23:12.1
500006,44,71,6/14/2023 4:23:16.2
500008,43,69,6/14/2023 4:23:35.5
500006,42,68,6/14/2023 4:24:18.3
500006,28,45,6/14/2023 4:25:02.3
500008,46,74,6/14/2023 4:26:11.0
500008,55,89,6/14/2023 4:27:49.3
